Home starters
gid,SPHome,Pitch 1 Name,Pitch 1 Velocity,Pitch 1 IVB,Pitch 1 HB,Pitch 1 Stuff +,Pitch 1 RPM,Pitch 2 Name,Pitch 2 Velocity,Pitch 2 IVB,Pitch 2 HB,Pitch 2 Stuff+,Pitch 2 RPM,Pitch 3 Name,Pitch 3 Velocity,Pitch 3 IVB,Pitch 3 HB,Pitch 3 Stuff+,Pitch 3 RPM,Pitch 4 Name,Pitch 4 Velocity,Pitch 4 IVB,Pitch 4 HB,Pitch 4 Stuff+,Pitch 4 RPM,Pitch 5 Name,Pitch 5 Velocity,Pitch 5 IVB,Pitch 5 HB,Pitch 5 Stuff+,Pitch 5 RPM,Pitch 6 Name,Pitch 6 Velocity,Pitch 6 IVB,Pitch 6 HB,Pitch 6 Stuff+,Pitch 6 RPM,Pitch 7 Name,Pitch 7 Velocity,Pitch 7 IVB,Pitch 7 HB,Pitch 7 Stuff+,Pitch 7 RPM
COL202404200,Dakota_Hudson,SNK,90.4,4.9,13.1,95,2054,SL,84,1.2,-0.5,96,2542,CB,80.2,-5.3,-12.3,99,2591,4SFB,90.0,8.0,5.6,89,2115,CH,83.5,2.8,12.5,93,1782,,,,,,,,,,,,
CHN202404030,Ben_Brown,4SFB,96.4,16.4,8.8,99,2222,KNCV,86.5,-3.5,-1.9,109,2268,CH,90.6,10.0,13.3,91,1666,,,,,,,,,,,,,,,,,,,,,,,,
MIN202404190,Joe_Ryan,4SFB,94.0,13.9,11.8,103,2278,SPL,88.5,0.2,14.3,101,2006,SW,81.3,2.4,-15.0,107,2728,SL,87.1,4.4,-2.7,95,2416,SNK,92.9,7.4,15.7,96,1952,,,,,,,,,,,,
PIT202404050,Jared_Jones,4SFB,97.3,17.1,8.4,105,2357,SL,88.8,2.5,-3.8,104,2584,CB,81.5,-10.7,-6.3,99,2686,CH,89.9,5.6,11.9,100,1733,,,,,,,,,,,,,,,,,,
CHN202404240,Jameson_Taillon,4SFB,92.3,16.1,6.9,93,2283,CUT,86.5,8.1,-5.5,98,2526,SW,80.4,0.3,-15.7,107,2733,CB,79.6,-10.7,-9.9,98,2692,SNK,92.5,13.7,12.8,94,2249,CH,86.0,9.8,14.2,92,1899,,,,,,
CHN202404020,Javier_Assad,SNK,91.4,11.0,13.6,97,1894,CUT,87.9,8.5,-3.6,93,2047,4SFB,91.5,16.5,5.8,92,2036,CB,76.8,-9.8,-11.1,97,2440,SW,79.9,0.0,-15.0,100,2398,CH,83.7,8.2,12.7,98,1434,SL,81.1,-1.1,-7.2,99,2335
CHN202404202,Shota_Imanaga,4SFB,91.7,18.3,10.2,102,2442,SPL,82.9,6.7,10.2,103,1119,SW,81.6,3.3,-10.1,106,2512,CH,81.6,9.5,12.0,101,1678,CB,72.7,-12.7,-8.9,98,2423,SNK,89.0,9.7,14.6,87,1867,,,,,,
MIN202404200,Bailey_Ober,4SFB,91.7,16.8,7.9,99,2303,CH,83.4,5.7,17.0,103,2038,SL,86.2,6.5,-3.6,99,2071,SW,80.3,-2.2,-12.3,101,2018,,,,,,,,,,,,,,,,,,
PIT202404250,Mitch_Keller,4SFB,94.4,14.4,9.1,98,2404,SNK,93.4,8.5,14.9,96,2443,SW,82.9,-0.2,-17.4,108,2786,CUT,90.4,7.6,-3.0,97,2490,CB,78.3,-13.0,-13.4,99,2652,SL,87.5,0.9,-4.7,99,2496,,,,,,
NYN202404041,Adrian_Houser,SNK,92.5,7.8,16.8,99,2073,SL,83.2,0.6,-5.7,99,2202,4SFB,93.6,15.8,9.2,94,2213,CH,84.1,4.4,14.8,97,1541,CB,79.6,-13.1,-8.5,96,1987,,,,,,,,,,,,
CHN202404050,Kyle_Hendricks,CH,80.9,8.2,10.6,98,2170,SNK,87.6,7.1,13.4,98,2010,CB,74.3,-10.5,-14.9,101,2976,4SFB,87.7,14.4,6.0,91,2086,,,,,,,,,,,,,,,,,,
DET202404050,Tarik_Skubal,4SFB,96.9,16.3,6.5,100,2226,CH,86.3,6.0,14.9,108,1689,SNK,96.6,12.3,14.5,102,2116,SL,88.7,6.1,-2.3,103,2105,CB,78.5,-7.8,-5.6,99,2322,,,,,,,,,,,,
CLE 202404240.00,Carlos_Carrasco,4SFB,91.7,10.7,3.3,93,2181,SL,83.9,0.0,-4.2,98,2472,CH,86.8,2.3,7.0,95,1342,SNK,91.0,5.8,13.4,96,2113,CB,80.4,-8.3,-11.1,100,2742,SW,80.1,3.6,-12.2,102,2489,,,,,,
CHA202404020,Garrett_Crochet,4SFB,97.2,15.6,8.1,104,2500,CUT,91.5,5.8,-3.8,103,2603,SW,84.2,-0.6,-14.4,110,2455,CH,91.0,9.0,15.9,97,2082,SNK,97.9,8.2,15.5,101,2518,,,,,,,,,,,,
CLE 202404210.00,Tanner_Bibee,4SFB,94.6,15.8,4.2,96,2361,CUT,86.4,3.8,-8.3,104,2738,CH,82.5,11.5,13.7,104,1992,SW,82.9,-0.2,-16.1,109,2683,CB,80.5,-6.6,-13.7,103,2680,,,,,,,,,,,,
