gid,cSPHome,cPitch 1 Name,cPitch 1 Velocity,cPitch 1 IVB,cPitch 1 HB,cPitch 1 proStuff +,cPitch 1 RPM,cPitch 2 Name,cPitch 2 Velocity,cPitch 2 IVB,cPitch 2 HB,cPitch 2 proStuff+,cPitch 2 RPM,cPitch 3 Name,cPitch 3 Velocity,cPitch 3 IVB,cPitch 3 HB,cPitch 3 proStuff+,cPitch 3 RPM,cPitch 4 Name,cPitch 4 Velocity,cPitch 4 IVB,cPitch 4 HB,cPitch 4 proStuff+,cPitch 4 RPM,cPitch 5 Name,cPitch 5 Velocity,cPitch 5 IVB,cPitch 5 HB,cPitch 5 proStuff+,cPitch 5 RPM,cPitch 6 Name,cPitch 6 Velocity,cPitch 6 IVB,cPitch 6 HB,cPitch 6 proStuff+,cPitch 6 RPM
COL202404200,Dakota_Hudson,SNK,90.1,5.5,13.1,93,,SL,83.2,0.9,-1.8,100,,4SFB,89.9,9.5,4.0,86,,CH,82.6,4.4,11.0,94,,,,,,,,,,,,,
CHN202404030,Ben_Brown,4SFB,95.7,16.5,8.9,97,2149,CB,86.1,-4.5,-2.4,111,2184,CH,90.4,10.2,14.1,88,1627,,,,,,,,,,,,,,,,,,
MIN202404190,Joe_Ryan,4SFB,93.7,15.2,11.6,104,,SW,81.3,3.3,-14.7,105,,SL,87.1,5.9,-1.0,98,,SPL,89.2,0.3,15.2,100,,,,,,,,,,,,,
PIT202404050,Jared_Jones,4SFB,96.9,17.6,8.9,107,2528,SL,88.1,0.5,-4.2,105,2547,CB,81.0,-13.2,-5.1,98,2706,CH,89.7,4.9,14.2,100,1713,,,,,,,,,,,,
CHN202404240,Jameson_Taillon,4SFB,92.3,17.8,8.2,95,2267,CUT,86.8,11.0,-4.3,97,2476,CB,79.0,-13.1,-10.3,99,2630,SW,79.5,0.9,-17.5,107,2616,SNK,92.9,15.8,13.4,94,2171,,,,,,
CHN202404020,Javier_Assad,SNK,92.1,11.4,15.0,99,1871,4SFB,92.3,16.5,7.1,95,1992,SW,79.3,-0.8,-15.5,103,2393,CUT,87.1,6.6,-5.1,96,2011,CH,85.9,7.9,16.1,100,1412,CB,-12.0,-14.0,101,2363,
CHN202404202,Shota_Imanaga,4SFB,91.7,20.3,8.7,106,2427,SPL,83.0,7.7,12.0,106,1133,SW,82.0,4.8,-8.2,111,2499,CB,73.0,-15.0,-10.0,99,2427,,,,,,,,,,,,
MIN202404200,Bailey_Ober,4SFB,92.8,17.7,10.0,104,2297,SL,86.6,6.5,-2.7,101,2093,CH,84.5,5.8,19.3,104,2069,SW,80.1,0.4,-12.7,108,2022,CB,77.4,-10.2,-8.5,99,2124,,,,,,
PIT202404250,Mitch_Keller,4SFB,93.6,15.6,9.3,96,2372,SNK,93.0,9.0,15.2,99,2378,SL,87.6,2.4,-5.1,101,2414,SW,83.1,1.3,-16.3,103,2752,CB,77.9,-12.9,-13.1,98,2627,CUT,89.7,9.8,-3.1,87,2441
CHN202404010,Shota_Imanaga,4SFB,92.5,18.5,8.5,103,2388,SPL,83.1,6.5,10.2,106,1048,SW,82.2,2.9,-11.3,104,2447,CB,74.8,-11.4,-9.8,98,2378,CUT,91.9,16.3,1.9,96,2282,,,,,,
NYN202404041,Adrian_Houser,SNK,91.1,8.7,20.1,101,1985,4SFB,92.4,17.6,10.3,92,2092,SL,82.3,2.3,-4.4,99,2126,CH,82.4,2.9,18.3,98,1419,CB,78.2,-16.6,-8.0,97,1904,,,,,,
CHN202404050,Kyle_Hendricks,CH,80.6,8.1,14.1,101,2146,4SFB,87.3,15.3,8.2,92,1997,SNK,87.3,8.3,14.9,99,1940,CB,73.3,-11.2,-17.5,103,2889,,,,,,,,,,,,
DET202404050,Tarik_Skubal,4SFB,95.3,16.8,6.2,99,2181,CH,84.2,6.2,14.9,107,1642,SL,86.4,5.2,-3.5,104,2057,SNK,95.4,12.3,14.3,102,2080,CB,80.6,-3.8,-5.4,106,2310,,,,,,
CLE 202404240.00,Carlos_Carrasco,SL,82.2,0.6,-5.2,98,2407,CH,86.4,1.3,7.8,96,1418,4SFB,90.7,11.8,3.2,95,2153,SNK,89.7,7.1,12.9,92,2062,SW,79.7,4.0,-14.0,103,2477,CB,78.6,-9.0,-13.0,101,2705
CHA202404020,Garrett_Crochet,4SFB,96.6,16.5,7.2,107,2525,SW,83.6,0.0,-16.1,111,2544,CUT,92.2,8.0,-2.7,99,2580,CH,91.1,7.1,18.2,97,1922,,,,,,,,,,,,
CLE 202404210.00,Tanner_Bibee,4SFB,94.2,17.5,3.6,97,2304,CUT,86.3,5.1,-8.0,102,2680,CH,82.4,12.0,5.0,101,1910,CB,80.6,-6.6,-11.0,103,2604,SW,82.7,1.4,-12.8,96,2608,SNK,92.5,11.9,16.8,99,2144
