Away starters
Gid,SPAway,Pitch 1 Name,Pitch 1 Velocity,Pitch 1 IVB,Pitch 1 HB,Pitch 1 Stuff +,Pitch 1 RPM,Pitch 2 Name,Pitch 2 Velocity,Pitch 2 IVB,Pitch 2 HB,Pitch 2 Stuff+,Pitch 2 RPM,Pitch 3 Name,Pitch 3 Velocity,Pitch 3 IVB,Pitch 3 HB,Pitch 3 Stuff+,Pitch 3 RPM,Pitch 4 Name,Pitch 4 Velocity,Pitch 4 IVB,Pitch 4 HB,Pitch 4 Stuff+,Pitch 4 RPM,Pitch 5 Name,Pitch 5 Velocity,Pitch 5 IVB,Pitch 5 HB,Pitch 5 Stuff+,Pitch 5 RPM,Pitch 6 Name,Pitch 6 Velocity,Pitch 6 IVB,Pitch 6 HB,Pitch 6 Stuff+,Pitch 6 RPM
COL202404200,Luis_Castillo,4SFB,95.6,12.2,12.5,102,2155,SL,85.7,0.8,-0.9,105,2296,SNK,95.6,3.9,18.3,95,2008,CH,88.1,-0.1,17.2,98,1894,,,,,,,,,,,,
CHN202404030,Cal_Quantrill,4SFB,93.9,13.9,10.2,91,2188,SPL,86.6,4.6,9.3,98,1038,CUT,87.7,4.9,-3.2,97,2369,CB,79.4,-4.4,-2.9,101,2432,SNK,93.8,13.6,15.2,92,2137,CH,84.9,7.9,11.5,94,1555
MIN202404190,Jack_Flaherty,4SFB,93.3,15.4,4.2,101,2258,SL,84.7,2.1,-6.7,101,2469,CB,77.4,-8.6,-13.3,102,2440,CH,85.7,5.0,12.1,94,1610,SNK,90.3,8.3,10.9,95,2081,,,,,,
PIT202404050,Grayson_Rodriguez,4SFB,96.1,15.9,12.7,105,2286,CH,83.1,2.0,12.2,107,1740,SL,86.5,2.0,-5.3,103,2467,CB,81.3,-9.8,-8.3,100,2730,,,,,,,,,,,,
CHN202404240,Spencer_Arrighetti,4SFB,94.1,15.3,11.8,103,2306,CB,78.4,-8.7,-14.6,106,2811,CUT,88.1,8.1,-3.2,98,2498,SW,80.8,1.7,-14.7,105,2800,CH,85.5,5.0,15.0,96,1675,,,,,,
CHN202404020,Kyle_Freeland,SNK,91.2,7.4,13.9,94,2273,CUT,86.9,6.0,0.1,95,2331,4SFB,91.6,14.3,7.6,95,2355,CB,83.5,-5.4,-1.5,104,2432,CH,85.7,5.7,12.1,91,1546,,,,,,
CHN202404202,Roddery_Munoz,4SFB,95.4,15.0,10.2,99,2269,SNK,94.9,7.8,17.0,96,2230,CUT,89.9,7.6,1.3,95,2339,SL,85.8,-2.4,-6.4,103,2324,CH,89.3,9.7,12.3,91,1720,,,,,,
MIN202404200,Reese_Olson,SL,84.8,-2.2,-5.6,105,2767,4SFB,94.2,14.3,10.3,91,2230,CH,86.5,0.6,13.3,101,1978,SNK,94.2,8.6,15.8,98,2105,CB,79.0,-13.0,-9.9,99,2548,,,,,,
PIT202404250,Freddy_Peralta,4SFB,94.3,16.7,6.8,102,2436,SL,81.5,2.2,-7.6,103,2345,CH,87.7,4.3,15.5,93,1731,CB,78.1,-4.8,-4.6,102,2204,,,,,,,,,,,,
NYN202404041,Casey_Mize,4SFB,95.5,16.3,7.8,99,2260,SL,85.8,0.2,-3.6,101,85.8,SPL,86.2,3.8,13.4,101,2164,SNK,95.5,12.4,14.3,100,2164,CB,79.6,-12.1,-8.8,99,2123,,,,,,
CHN202404050,Bobby_Miller,4SFB,97.6,16.6,7.6,98,2296,CH,86.4,8.8,17.0,104,2248,CB,79.8,-12.5,-8.3,97,2651,SNK,97.2,13.5,13.5,98,2256,SL,88.6,2.3,-6.2,103,2383,,,,,,
DET202404050,JP_Sears,4SFB,91.9,14.8,11.6,99,2087,SW,78.7,4.4,-13.3,104,2427,CH,84.0,2.5,16.6,90,1675,SNK,90.0,6.2,16.1,92,1889,SL,79.3,8.2,-6.2,107,2385,,,,,,
CLE 202404240.00,Cooper_Criswell,SNK,89.1,0.5,16.5,100,2024,SW,76.8,5.1,-18.2,101,2498,CH,84.4,-5.0,13.6,94,1516,CUT,86.4,8.1,0.0,99,2214,SL,82.2,-0.2,-7.0,98,2442,,,,,,
CHA202404020,Reynaldo_Lopez,4SFB,95.5,16.4,7.4,98,2073,SL,85.0,-1.9,-5.5,105,2358,CB,77.0,-7.8,-7.0,98,2426,CH,86.1,11.1,10.2,97,1561,,,,,,,,,,,,
CLE 202404210.00,Ross_Stripling,4SFB,91.7,18.1,4.9,93,2144,CH,82.7,11.4,9.2,100,1668,CUT,87.5,10.0,-1.6,94,2245,SNK,90.2,12.1,14.1,96,2032,SL,84.7,2.7,-2.3,103,2347,CB,76.3,-13.1,-6.4,100,2476
